"","precio_gasoleo_a","rotulo","direccion","provincia"
"734",1.779,"BP TORREJON - CTRA LOECHES","CARRETERA DE TORREJON A LOECHES KM. 1,100","MADRID"
"735",1.779,"SHELL","AVENIDA DE LAS ESTACIONES, 2","MADRID"
"736",1.779,"REPSOL","CALLE SAN JUAN, 38","MADRID"
"737",1.779,"ES BP GURUGU","CARRETERA ALCALA-PASTRANA KM. 4,400","MADRID"
"738",1.779,"BP VILLALBILLA","CARRETERA ALCALA VILLAR DEL OLMO (DE) M-204 KM. 39","MADRID"
"739",1.779,"BP VILLAMANTA","CARRETERA M-507 KM. 6,700","MADRID"
"740",1.779,"CEPSA","CARRETERA M-509 KM. 4,4","MADRID"
"741",1.779,"BP MARIA","AVENIDA QUITAPESARES, 1","MADRID"
"742",1.78,"REPSOL","CARRETERA COLMENAR VIEJO KM. 10,5","MADRID"
"743",1.78,"REPSOL","CARRETERA COLMENAR VIEJO KM. 10,5","MADRID"
"744",1.784,"BP","CALLE PASEO DE LAS CAMELIAS, 2","MADRID"
"745",1.784,"GALP","CARRETERA M-300 KM. 8,1","MADRID"
"746",1.789,"BP PUENTE ARCE","CARRETERA M-300 KM. 26,4","MADRID"
"747",1.789,"BP RIO CORVO","CARRETERA ANTIGUA N-II KM. 26,00","MADRID"
"748",1.789,"BP ISIDORO","AVENIDA JUAN CARLOS I, 44","MADRID"
"749",1.789,"REPSOL","AVENIDA JUAN CARLOS I, S/N","MADRID"
"750",1.789,"REPSOL","CL AVENIDA DE LA CONSTITUCION, 3","MADRID"
"751",1.789,"CEPSA","AVENIDA ESPAÑA, 118","MADRID"
"752",1.789,"REPSOL","CARRETERA A-42 KM. 18,7","MADRID"
"753",1.789,"REPSOL","CR M-506, 15,6","MADRID"
"754",1.789,"REPSOL","CARRETERA A-42 KM. 18,7","MADRID"
"755",1.789,"REPSOL","CR M-506, 18","MADRID"
"756",1.789,"CEPSA","PASEO MORET, 7","MADRID"
"757",1.789,"REPSOL","CARRETERA M-203 KM. 0,28","MADRID"
"758",1.789,"REPSOL","CARRETERA M-203 KM. 0,28","MADRID"
"759",1.789,"REPSOL","CALLE REAL DE ARGANDA, 74","MADRID"
"760",1.789,"CEPSA","CALLE OFELIA NIETO, 65","MADRID"
"761",1.789,"REPSOL","CARRETERA M-602 KM. 1,3","MADRID"
"762",1.789,"REPSOL","CARRETERA M-301 KM. 3,5","MADRID"
"763",1.789,"REPSOL","AUTOPISTA M-50 KM. 34","MADRID"
"764",1.789,"REPSOL","AUTOVIA M-50 KM. 34","MADRID"
"765",1.789,"REPSOL","CL ALCALA, 510","MADRID"
"766",1.789,"REPSOL","CR M-214, 4,6","MADRID"
"767",1.789,"REPSOL","CALLE MANUEL DE FALLA, 2","MADRID"
"768",1.789,"REPSOL","AUTOVIA A-1 KM. 41","MADRID"
"769",1.789,"CARREFOUR","CARRETERA NACIONAL VKM 19 KM.","MADRID"
"770",1.789,"REPSOL","CARRETERA M600 KM. 45,800","MADRID"
"771",1.789,"CEPSA A4 PINTO 365","CALLE COTO DE DOÑANA, 1","MADRID"
"772",1.789,"REPSOL","CR A-4  P.K. 20,20 D","MADRID"
"773",1.789,"REPSOL","CR A-4  P.K. 20,20 I","MADRID"
"774",1.789,"BP PARQUE ÓPTIMA","CARRETERA M-841 KM. 1","MADRID"
"775",1.789,"REPSOL","CR A-6, 20,3","MADRID"
"776",1.789,"REPSOL","CR N-2, 16,3","MADRID"
"777",1.789,"CEPSA SAN FERNANDO 365","CALLE CERRAJEROS DE LOS, 2","MADRID"
"778",1.789,"CEPSA","AVENIDA DOCTOR MANUEL JARABO (DEL), 74","MADRID"
"779",1.789,"REPSOL","CR A-6, 28,2","MADRID"
"780",1.789,"REPSOL","CALLE CAMINO DE VALLADOLID, 1","MADRID"
"781",1.789,"REPSOL","AUTOVIA E-5/A-1 KM. 49","MADRID"
"782",1.799,"CEPSA","AUTOVIA N-IV KM. 48,700","MADRID"
"783",1.799,"REPSOL","CR A-5, 23.5","MADRID"
"784",1.799,"CEPSA","CARRETERA M-511 KM. 6,5","MADRID"
"785",1.799,"CEPSA","CALLE AMADEO VIVES, 2","MADRID"
"786",1.799,"REPSOL","AUTOVIA N-1 KM. 65","MADRID"
"787",1.799,"CEPSA","CALLE CORAZON DE MARIA, 18","MADRID"
"788",1.799,"REPSOL","AVENIDA VENTISQUERO DE LA CONDESA,","MADRID"
"789",1.799,"REPSOL","CALLE ALTO DEL RETIRO, 2","MADRID"
"790",1.799,"REPSOL","CARRETERA M-856 (ENLACE N-V Y N-501) KM. 1","MADRID"
"791",1.799,"REPSOL","CR A-5, 21","MADRID"
"792",1.799,"REPSOL","CR A-5, 21","MADRID"
"793",1.799,"REPSOL","CARRETERA CARABANCHEL M-502 KM. 3600","MADRID"
"794",1.799,"BP SAN FERNANDO PUERTA DE MADRID 365 I","CALLE CERRAJEROS, 10","MADRID"
"795",1.799,"BP SAN FERNANDO PUERTA DE MADRID 365 II","CALLE CERRAJEROS (DE LOS), 10","MADRID"
"796",1.799,"REPSOL","CARRETERA M-50 KM. 66,5","MADRID"
"797",1.799,"REPSOL","CARRETERA M-50 KM. 66,5","MADRID"
"798",1.802,"REPSOL","CARRETERA M-832 KM. 3","MADRID"
"799",1.802,"REPSOL","CARRETERA M-832 KM. 3","MADRID"
"800",1.805,"CEPSA","CARRETERA M-841 KM. 3,5","MADRID"
"801",1.809,"REPSOL","CALLE MERCADRID PARCELA D-3, S/N","MADRID"
"802",1.812,"PETRONOR","CR M-311, 4,9","MADRID"
"803",1.812,"REPSOL","CR M-204, 27","MADRID"
"804",1.812,"REPSOL","CARRETERA N-3 KM. 39,2","MADRID"
"805",1.816,"REPSOL","CARRETERA DE LA CORUÑA KM 12 KM.","MADRID"
"806",1.819,"CEPSA","AVENIDA EUROPA (C.C. LA MORALEJA), 13/15","MADRID"
"807",1.819,"REPSOL","AUTOVIA E-901/A-3 KM. 35,2","MADRID"
"808",1.829,"REPSOL","CR A-6, 8","MADRID"
"809",1.859,"REPSOL SAN FERNANDO 365","CALLE DE LOS HERRADORES, 1","MADRID"
"810",1.869,"REPSOL","AUTOPISTA AUTOPISTA R-3 LOECHES KM. 19,5","MADRID"
"811",1.869,"REPSOL","AUTOPISTA AUTOPISTA R-3 LOECHES KM. 19,5","MADRID"
"812",1.879,"REPSOL","CARRETERA R-5 KM. 5,5","MADRID"
"813",1.879,"REPSOL","CARRETERA R-5 KM. 5,5","MADRID"
"814",1.879,"REPSOL","AU R-2 ,P.K. 35,5 M.D.","MADRID"
"815",1.879,"REPSOL","AU R-2 ,P.K. 35,5 M.I.","MADRID"
"816",1.956,"COSTCO","CALLE AGUSTIN DE BETANCOURT, 17","MADRID"
"817",1.974,"COSTCO","CALLE INNOVACIÓN, 19","MADRID"
"818",NA,"SCAT","CALLE VALPORTILLO II, 5","MADRID"
"819",NA,"REDEXIS","CARRETERA ALCORCON A SAN MARTIN DE VALDEIGLESIAS KM. 1,5","MADRID"
"820",NA,"ALIARA ENERGÍA","PASEO PASEO DE EXTREMADURA, KM 12.200, 28925 ALCORCÓN, MADRID, 11","MADRID"
"821",NA,"NATURGY","CALLE EBANISTAS, 2","MADRID"
"822",NA,"ALIARA ENERGÍA","AVENIDA DE MADRID, 103","MADRID"
"823",NA,"NATURGY ES FUENLABRADA","AVENIDA LA CANTUEÑA, 8","MADRID"
"824",NA,"LUACENTER","CALLE TENERIFE (DE), 2","MADRID"
"825",NA,"NATURGY","AVENIDA FRANCISCO PI Y MARGALL, 5","MADRID"
"826",NA,"ALIARA ENERGIA","CALLE PORTOMARIN, 25","MADRID"
"827",NA,"HAM TRES CANTOS","CARRETERA M-607 KM. 17,7","MADRID"
"828",NA,"NATURGY","CALLE PIÑUECAR, 53","MADRID"
"829",NA,"SCAT","CALLE SAN MARIO, 14","MADRID"
"830",NA,"ALIARA ENERGIA","AVENIDA CORDOBA, 49","MADRID"
"831",NA,"NATURGY","CALLE RAFAEL BOTI, 5","MADRID"
"832",NA,"ALIARA ENERGIA","CALLE FUENTE DE LIMA, 22","MADRID"
"833",NA,"SCAT","CALLE SECOYA, 28","MADRID"
"834",NA,"ALIARA ENERGIA","CALLE VIA DE LOS POBLADOS, 128","MADRID"
"835",NA,"REPSOL BUTANO","PASEO ERMITA DEL SANTO, 80","MADRID"
"836",NA,"NATURGY","CALLE FUEMBELLIDA, 3","MADRID"
"837",NA,"REPSOL","CALLE MENDEZ ALVARO, S/N","MADRID"
"838",NA,"NATURGY","AVENIDA EJE CENTRAL, 7","MADRID"
"839",NA,"MADRID WETAXI GLP","CALLE ISAAC JIMENEZ, 3","MADRID"
"840",NA,"NATURGY","CALLE RIVAS, 14","MADRID"
"841",NA,"ALIARA ENERGÍA","CALLE TORRES QUEVEDO, 6","MADRID"
"842",NA,"NATURGY","CARRETERA DE PARLA A PINTO M-408 KM. S/N","MADRID"
"843",NA,"BP PINTO","CARRETERA M-408 PINTO A PARLA KM. 5","MADRID"
"844",NA,"CAB","CALLE TURBINA (DE LA), 2","MADRID"
"845",NA,"ALIARA ENERGÍA","AVENIDA DE LA TÉCNICA, 2","MADRID"
"846",NA,"MOLGAS","CALLE CERRAJEROS DE LOS, 10","MADRID"
"847",NA,"HAM","AUTOVIA NACIONAL I KM. 26,200","MADRID"
"848",NA,"HAM","CALLE NARCISO MONTURIOL, 28","MADRID"
"849",NA,"HAM","CALLE TAMBORA, 4","MADRID"
